epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.00774,2.00149,4.02395,2.31009,0.01429,0.5,0.14549,0.08378,1.12128,3.16336,1.448,0,0,0
2,10.5791,1.87143,3.94654,2.14873,0.01379,0.5,0.15903,0.09045,1.0739,3.15011,1.43667,1.50197e-05,1.50197e-05,1.50197e-05
3,15.1062,1.64224,4.00182,1.98103,0.01311,0.5,0.18918,0.10473,1.01286,3.12273,1.41757,2.67387e-05,2.67387e-05,2.67387e-05
4,19.6417,1.47013,3.91018,1.53069,0.01333,0.5,0.25912,0.14193,0.95846,3.10552,1.40447,3.5157e-05,3.5157e-05,3.5157e-05
5,24.2833,1.36308,3.73039,1.48138,0.01274,0.5,0.39908,0.25345,0.92292,3.11573,1.36404,4.02747e-05,4.02747e-05,4.02747e-05
6,29.3449,1.39598,3.58986,1.52736,0.01274,0.5,0.45825,0.32435,0.89073,3.13543,1.33777,4.20917e-05,4.20917e-05,4.20917e-05
7,34.3142,1.27445,3.60701,1.45685,0.01212,0.5,0.49809,0.35064,0.93285,3.15331,1.34249,4.06081e-05,4.06081e-05,4.06081e-05
8,39.0838,1.23882,3.51281,1.4978,0.01194,0.5,0.49804,0.36618,0.94455,3.14501,1.30593,3.58238e-05,3.58238e-05,3.58238e-05
9,43.6383,1.1845,3.43321,1.39062,0.01153,0.5,0.49794,0.3661,0.93978,3.14103,1.31756,2.77389e-05,2.77389e-05,2.77389e-05
10,50.0392,0.83961,3.24276,1.14161,0.01127,0.5,0.49787,0.36604,0.93135,3.14301,1.30506,1.63533e-05,1.63533e-05,1.63533e-05
