epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5023,3.09067,7.11589,1.99685,0,0,0,0,2.96171,8.51875,1.57188,1.429e-05,1.429e-05,1.429e-05
2,68.2223,3.02202,8.28957,1.87432,0,0,0,0,2.94214,7.88704,1.55037,4.24456e-05,4.24456e-05,4.24456e-05
3,95.2719,2.76595,5.66045,1.66226,0,0,0,0,2.99424,7.47171,1.54475,7.00353e-05,7.00353e-05,7.00353e-05
1,14.8909,3.09067,7.11589,1.99685,0,0,0,0,2.96171,8.51875,1.57188,1.429e-05,1.429e-05,1.429e-05
2,26.9856,3.02202,8.28957,1.87432,0,0,0,0,2.94214,7.88704,1.55037,4.24456e-05,4.24456e-05,4.24456e-05
1,14.549,3.09067,7.11589,1.99685,0,0,0,0,2.96171,8.51875,1.57188,1.429e-05,1.429e-05,1.429e-05
2,25.594,3.02202,8.28957,1.87432,0,0,0,0,2.94214,7.88704,1.55037,4.24456e-05,4.24456e-05,4.24456e-05
3,36.2945,2.76595,5.66045,1.66226,0,0,0,0,2.99424,7.47171,1.54475,7.00353e-05,7.00353e-05,7.00353e-05
4,46.0372,2.42861,6.24669,1.52694,0.04,0.16667,0.04973,0.01989,2.96877,7.80715,1.5001,9.70591e-05,9.70591e-05,9.70591e-05
5,55.0108,2.76459,5.21126,1.59682,0.28564,0.16667,0.06849,0.03425,2.9182,7.68724,1.4539,0.000123517,0.000123517,0.000123517
6,64.5306,2.54316,3.68131,1.44568,0.44604,0.16667,0.10431,0.04707,2.79508,7.36003,1.38635,0.000149409,0.000149409,0.000149409
7,73.6436,2.76943,3.9093,1.84767,0.46353,0.16667,0.09841,0.04825,2.61294,6.30159,1.2982,0.000174735,0.000174735,0.000174735
8,83.5595,2.27664,3.13563,1.40562,0.45696,0.16667,0.16526,0.07142,2.46468,5.15404,1.25414,0.000199496,0.000199496,0.000199496
9,93.7221,2.20532,2.86738,1.31309,0.4956,0.32893,0.25121,0.10053,2.3949,4.37934,1.25569,0.00022369,0.00022369,0.00022369
10,102.802,2.40543,3.05802,1.60412,0.34001,0.5167,0.3155,0.11053,2.51772,3.78842,1.30293,0.000247318,0.000247318,0.000247318
11,111.418,2.40228,3.26764,1.49907,0.35064,0.66667,0.41679,0.18332,2.48086,3.01474,1.2919,0.000270381,0.000270381,0.000270381
12,120.311,2.45207,2.8901,1.40148,0.35064,0.66667,0.41679,0.18332,2.48086,3.01474,1.2919,0.000292878,0.000292878,0.000292878
13,129.599,1.88903,2.53878,1.30544,0.37739,0.66667,0.41723,0.19341,2.48631,2.98572,1.28267,0.000314809,0.000314809,0.000314809
14,138.539,1.93504,2.41255,1.30919,0.35941,0.33333,0.3766,0.13892,2.42488,3.87682,1.27955,0.000336174,0.000336174,0.000336174
15,147.47,1.74823,2.17671,1.27629,0.35941,0.33333,0.3766,0.13892,2.42488,3.87682,1.27955,0.000356973,0.000356973,0.000356973
16,156.395,2.03604,2.4478,1.25668,0.23392,0.5,0.30257,0.14623,2.63138,3.22939,1.37038,0.000377206,0.000377206,0.000377206
17,165.317,2.04497,1.94887,1.25326,0.26008,0.66667,0.3001,0.13955,2.46673,2.78574,1.31409,0.000396873,0.000396873,0.000396873
18,173.639,1.95299,2.05512,1.20642,0.26008,0.66667,0.3001,0.13955,2.46673,2.78574,1.31409,0.000415975,0.000415975,0.000415975
19,182.535,2.08441,2.4121,1.18227,0.73821,0.16667,0.2832,0.12873,2.10278,2.99046,1.23658,0.00043451,0.00043451,0.00043451
20,191.583,1.98831,1.7856,1.27731,0.73821,0.16667,0.2832,0.12873,2.10278,2.99046,1.23658,0.00045248,0.00045248,0.00045248
21,200.692,1.87741,1.87904,1.2324,0.24126,0.66667,0.35224,0.16109,2.19048,2.91104,1.25022,0.000469884,0.000469884,0.000469884
22,210.351,2.02182,1.87228,1.31128,0.24126,0.66667,0.35224,0.16109,2.19048,2.91104,1.25022,0.000486722,0.000486722,0.000486722
23,219.579,1.93288,2.14233,1.19685,0.3221,0.63578,0.34949,0.15473,2.06285,2.41486,1.20232,0.000502994,0.000502994,0.000502994
24,228.278,1.79362,1.74719,1.12501,0.3221,0.63578,0.34949,0.15473,2.06285,2.41486,1.20232,0.0005187,0.0005187,0.0005187
25,238.703,1.96575,1.7568,1.2712,0.29299,0.5,0.31972,0.12846,2.11838,2.32247,1.20825,0.00053384,0.00053384,0.00053384
26,247.835,1.83105,1.87421,1.2521,0.29299,0.5,0.31972,0.12846,2.11838,2.32247,1.20825,0.000548414,0.000548414,0.000548414
27,259.906,2.05781,1.94783,1.3727,0.29299,0.5,0.31972,0.12846,2.11838,2.32247,1.20825,0.000562423,0.000562423,0.000562423
28,271.522,1.78062,1.64662,1.22258,1,0.31749,0.46025,0.244,2.18671,1.86214,1.17676,0.000575866,0.000575866,0.000575866
